,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,F_PU1,F_PU2,F_PU3,F_PU4,F_PU5,F_PU6,F_PU7,F_PU8,F_PU9,F_PU10,F_PU11,F_V2,S_PU1,S_PU2,S_PU3,S_PU4,S_PU5,S_PU6,S_PU7,S_PU8,S_PU9,S_PU10,S_PU11,S_V2
0,3.0000014,0.50000197,2.9999955,2.5000017,1.000002,5.199999,2.5000029,2.9758792,35.56238,25.62472,92.45761,25.679052,88.439804,21.878048,84.06454,21.770767,71.409805,28.681446,27.781446,0.09517435,0.09519293,0.0,0.032100953,0.0,0.0,0.047090285,0.034875154,0.0,0.030125566,0.0,0.10800321,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
3600,2.934703,0.8011371,3.6062188,3.3870916,1.7859168,5.499999,3.650528,2.97587,35.5538,25.871477,92.780174,25.925953,89.17943,22.350243,84.7598,22.254519,77.43856,28.911493,28.011494,0.09519042,0.095209,0.0,0.032052122,0.0,0.0,0.04681144,0.034741163,0.0,0.028320579,0.0,0.10625898,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
7200,2.908635,1.0905985,4.2059774,4.2795672,2.5932257,5.4442444,4.65083,2.975977,35.671745,26.155651,93.354996,26.209522,89.93271,27.596388,87.512215,27.596388,61.494976,29.184626,28.284626,0.09496944,0.09498796,0.0,0.031863965,0.0,0.0,0.046542987,0.036136262,0.0,0.0,0.0,0.10552765,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
10800,3.0192792,1.6485691,4.8223305,3.995008,3.4449224,5.2476516,3.7713206,2.9762745,36.01535,28.954489,95.0414,29.047585,69.63493,27.938395,88.08832,27.938395,60.701992,31.549988,30.649988,0.09432461,0.094342954,0.0,0.032577597,0.0,0.0,0.0,0.036004893,0.0,0.0,0.0,0.09201857,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
14400,3.2126164,2.3399363,5.2605925,3.3256257,3.8888302,5.0233307,2.9586911,2.9771163,36.97773,31.870325,76.990746,31.870325,69.090866,32.16187,65.02463,32.16187,60.193604,34.22727,33.327267,0.09251013,0.09252794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08224964,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18000,3.4634616,3.020118,5.0914493,3.4891691,3.5489533,5.0298605,2.9387016,2.9757862,35.457497,28.978445,73.55452,28.938118,86.523735,28.25619,63.212803,28.132063,69.3154,31.561527,30.661528,0.09537072,0.09538936,0.0,0.0,0.0,0.0,0.04987387,0.0,0.0,0.032585572,0.0,0.08896784,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
21600,3.4813766,3.435102,4.7447352,3.8210745,2.8937004,5.3020854,3.3139067,2.9744794,33.98407,28.841175,62.414055,28.798223,82.93567,26.999006,56.39404,26.869776,65.42589,31.376808,30.476809,0.09811424,0.09813368,0.0,0.0,0.0,0.0,0.051599454,0.0,0.0,0.033302296,0.0,0.07926792,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
25200,3.2657852,3.7288003,4.0695953,2.8395064,1.5564517,5.1140227,2.180069,2.9736376,33.045578,28.769957,53.262318,28.72383,78.57047,25.802168,51.31979,25.667376,61.32529,31.273615,30.37361,0.099847466,0.099867426,0.0,0.0,0.0,0.0,0.053625494,0.0,0.0,0.034068495,0.0,0.07090816,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
28800,2.8177195,3.6825426,3.2113314,1.6813074,1.0239912,4.897608,0.65979886,2.9734933,32.881847,28.125395,60.548122,28.029205,102.09955,12.775134,75.98764,12.484934,74.69426,30.844288,29.944283,0.10014875,0.1001688,0.0,0.0,0.0,0.03988543,0.039861094,0.034332927,0.0,0.025791615,0.02575279,0.06830042,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
32400,2.40934,3.3382752,3.1731105,1.6390774,0.82013386,5.1672287,0.5909473,2.9743862,33.87898,26.795885,86.98225,26.822693,103.99759,14.55889,77.96799,14.287963,78.8735,30.081827,29.181828,0.09830887,0.098328374,0.0,0.036096286,0.0,0.037490815,0.037466865,0.03420964,0.0,0.024852358,0.024814166,0.08300214,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
36000,2.1498346,3.0439675,3.6022656,2.3492386,1.0617564,5.499999,1.5870539,2.9749026,34.459885,26.893461,89.646736,26.918892,106.105446,17.01224,80.22973,16.801502,88.470924,30.132656,29.232656,0.097231306,0.09725049,0.0,0.034616206,0.0,0.03580448,0.035780814,0.034303423,0.0,0.02170078,0.021664819,0.08723326,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
39600,1.9978068,2.8464587,4.1056304,3.4177036,1.5245188,5.499999,3.0941248,2.9753582,34.974297,26.979498,92.341515,27.003616,108.21376,21.163696,83.41657,21.06467,74.680885,30.16664,29.26664,0.096273504,0.09629241,0.0,0.033033293,0.0,0.033962537,0.03393919,0.03483378,0.0,0.028843619,0.0,0.09092853,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
43200,1.9810776,2.9260166,4.6805253,4.1653047,2.2067935,5.499999,4.213982,2.9753723,34.99056,27.44607,92.88763,27.504034,88.972725,21.254602,83.77854,21.157549,75.714165,30.391737,29.491737,0.09624316,0.09626206,0.0,0.032984093,0.0,0.0,0.047811396,0.034674928,0.0,0.028533472,0.0,0.08916401,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
46800,2.044841,3.2370396,5.259039,4.0211554,2.9023788,5.38462,4.268025,2.9757304,35.395714,29.612923,94.081345,29.711424,68.46655,26.905277,86.4456,26.905277,60.376793,32.142975,31.242975,0.09548632,0.09550499,0.0,0.033585086,0.0,0.0,0.0,0.03634538,0.0,0.0,0.0,0.07988879,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
50400,2.2348342,3.9496658,5.0842776,3.1240845,3.6340458,5.135305,3.1838403,2.9761398,35.859715,32.006535,75.95315,32.006535,67.21646,27.405548,87.252335,27.405548,59.51423,34.276653,33.376656,0.09461688,0.09463531,0.0,0.0,0.0,0.0,0.0,0.03617464,0.0,0.0,0.0,0.0665066,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
54000,2.4093351,4.3433533,4.8561797,3.6359787,3.7821298,5.085624,2.8213692,2.9754374,35.063957,29.738277,73.46005,29.697573,86.79365,27.38507,63.488148,27.262352,69.166084,32.25207,31.352066,0.096106224,0.096125074,0.0,0.0,0.0,0.0,0.050125,0.0,0.0,0.03238528,0.0,0.07725819,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
57600,2.4948182,4.631373,4.5148053,3.969763,3.1343367,5.353022,3.1839983,2.9750187,34.5897,29.846922,69.961685,29.80514,85.48316,27.108349,61.23528,26.983778,67.94041,32.343147,31.443144,0.09698994,0.09700905,0.0,0.0,0.0,0.0,0.05083992,0.0,0.0,0.032648377,0.0,0.073217705,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
61200,2.5007436,4.8675914,4.0555773,3.899265,2.2658875,5.499999,3.070368,2.9741957,33.663326,29.8395,60.936832,29.796015,83.215294,26.35446,56.03834,26.226196,65.28401,32.305626,31.405626,0.098707825,0.09872744,0.0,0.0,0.0,0.0,0.051947147,0.0,0.0,0.033167705,0.0,0.06595144,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
64800,2.2997324,4.98757,3.3610897,2.9468768,1.4416587,5.2741523,1.9009603,2.9729586,32.29012,29.755087,52.286877,29.708527,78.96045,17.125925,76.65641,17.004913,59.774746,32.162285,31.262281,0.10123489,0.10125527,0.0,0.0,0.0,0.0,0.053896863,0.036388732,0.0,0.032141797,0.0,0.049536277,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
68400,1.8764328,4.640591,3.0593498,1.7289231,0.9386104,5.0993814,0.55615866,2.9730701,32.41701,26.80809,82.58186,26.840176,101.361824,12.139094,75.801,11.851428,74.37676,30.112528,29.212526,0.10100233,0.10102264,0.0,0.038489316,0.0,0.039551545,0.039527263,0.034064375,0.0,0.025669495,0.02563075,0.06755044,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
72000,1.5018464,4.109656,3.3109252,1.6857629,0.74854755,5.35584,0.45434165,2.974098,33.555725,27.184351,86.89626,27.21247,104.32042,14.15566,77.972275,13.887402,78.798195,30.431345,29.531345,0.098906666,0.09892635,0.0,0.036362298,0.0,0.037545048,0.037521094,0.033965077,0.0,0.024719851,0.02468175,0.07516367,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
75600,1.2898082,3.7310233,3.7316158,2.3956451,0.99726725,5.499999,1.5676783,2.974577,34.09343,27.287214,89.72433,27.313417,106.42422,16.389984,79.8911,16.17975,87.90585,30.482946,29.582941,0.09791157,0.09793095,0.0,0.034802463,0.0,0.035869155,0.035845477,0.03413439,0.0,0.021672854,0.02163691,0.07922358,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
79200,1.1764988,3.4451013,4.2329435,3.4597197,1.4548486,5.499999,3.074284,2.975084,34.664223,27.397825,92.61636,27.422434,108.63634,20.465567,83.06939,20.367615,74.497765,30.536905,29.636906,0.09685124,0.09687031,0.0,0.03312263,0.0,0.033960328,0.03393698,0.03462805,0.0,0.028674012,0.0,0.083064646,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
82800,1.2048924,3.4367716,4.8116894,4.208288,2.1333003,5.499999,4.2233953,2.9753351,34.94605,27.924389,94.66527,27.978762,90.402794,21.025394,84.539635,20.93207,77.248215,30.814661,29.914661,0.096326195,0.09634511,0.0,0.03216019,0.0,0.0,0.047279917,0.03408702,0.0,0.027934685,0.0,0.08322142,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
86400,1.3727473,3.8217342,5.263876,4.0402613,2.9610636,5.384927,4.3037996,2.976112,35.826134,31.817272,76.953156,31.817272,69.43551,27.019894,87.3337,27.019894,61.138065,34.08378,33.183777,0.0946799,0.09469833,0.0,0.0,0.0,0.0,0.0,0.03591279,0.0,0.0,0.0,0.06578509,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
