,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,F_PU1,F_PU2,F_PU3,F_PU4,F_PU5,F_PU6,F_PU7,F_PU8,F_PU9,F_PU10,F_PU11,F_V2,S_PU1,S_PU2,S_PU3,S_PU4,S_PU5,S_PU6,S_PU7,S_PU8,S_PU9,S_PU10,S_PU11,S_V2
0,3.0000014,0.50000197,2.9999955,2.5000017,1.000002,5.199999,2.5000029,2.9758654,35.54723,25.63211,92.66614,25.685759,88.44367,21.882332,84.111435,21.775148,71.462524,28.686865,27.786865,0.095202714,0.09522131,0.0,0.031971037,0.0,0.0,0.047091883,0.0348503,0.0,0.030112209,0.0,0.10800427,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
3600,2.934303,0.8024905,3.6109068,3.401221,1.7989392,5.499999,3.661839,2.9759119,35.60091,25.879583,92.96323,25.933477,89.19935,22.371534,84.85076,22.27648,77.77962,28.917818,28.017818,0.09510218,0.09512074,0.0,0.031939004,0.0,0.0,0.0468044,0.03470019,0.0,0.028212711,0.0,0.106262416,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
7200,2.9125464,1.0936633,4.2152233,4.3117237,2.6117547,5.4414816,4.6418815,2.976,35.70336,26.17219,93.48125,26.225748,90.016525,27.620564,87.520836,27.620564,61.546814,29.201103,28.301104,0.09491017,0.09492867,0.0,0.03179246,0.0,0.0,0.046504173,0.03614481,0.0,0.0,0.0,0.105718166,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
10800,3.0281067,1.6678841,4.83393,3.965326,3.4668095,5.2477913,3.805365,2.97627,36.010868,28.964735,95.11775,29.057613,69.49128,27.948627,88.101494,27.948627,60.76889,31.558727,30.658728,0.09433305,0.09435138,0.0,0.03253568,0.0,0.0,0.0,0.03600324,0.0,0.0,0.0,0.091853894,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
14400,3.2263644,2.3635812,5.25769,3.2828748,3.879547,5.0273676,3.0074415,2.977135,36.998966,31.896793,77.01621,31.896793,68.9759,32.187855,65.02187,32.187855,60.11679,34.253902,33.3539,0.09246998,0.092487775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08227661,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18000,3.4767213,3.0201738,5.090649,3.5469518,3.5424235,5.0085316,2.8943694,2.9758096,35.486313,28.9829,73.72073,28.942583,86.53808,28.26306,63.105797,28.138565,69.13436,31.566433,30.666433,0.09531677,0.095335394,0.0,0.0,0.0,0.0,0.04986878,0.0,0.0,0.032637473,0.0,0.08904333,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
21600,3.4964921,3.4360135,4.750949,3.8818057,2.8856542,5.2715387,3.2082572,2.9745073,34.013214,28.850048,62.2362,28.807098,82.940155,27.052826,56.71803,26.923695,65.531044,31.386864,30.486864,0.09806023,0.09807967,0.0,0.0,0.0,0.0,0.0516016,0.0,0.0,0.033288527,0.0,0.07946735,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
25200,3.283547,3.7318094,4.0706835,2.8988516,1.5708416,5.0987678,2.0941207,2.973591,32.993004,28.77216,53.15903,28.726112,78.6775,25.788168,51.62288,25.653366,61.30615,31.274986,30.374987,0.09994424,0.09996423,0.0,0.0,0.0,0.0,0.05357747,0.0,0.0,0.03406983,0.0,0.07081744,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
28800,2.830728,3.6941931,3.2104104,1.7098824,1.041125,4.9035144,0.62254536,2.9735353,32.927567,28.134018,60.609264,28.037825,102.104904,12.790631,75.94123,12.501017,74.7831,30.852184,29.952185,0.10006466,0.100084685,0.0,0.0,0.0,0.039887816,0.03986348,0.03436942,0.0,0.025763575,0.025724767,0.06814954,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
32400,2.424511,3.3482933,3.1737056,1.6725079,0.83546317,5.180772,0.5416387,2.974414,33.908234,26.804964,86.74557,26.832771,104.06549,14.669824,78.169975,14.3995285,79.06195,30.09264,29.192635,0.098254696,0.098274186,0.0,0.03623436,0.0,0.03744387,0.037419923,0.034155156,0.0,0.024821127,0.024782956,0.083057545,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
